antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'proto_tcp', 'service_smtp'})",frozenset({'attack_Exploits'}),0.03129970848007328,0.16892063354521653,0.01926135906466048,0.6153846153846153,3.6430399440805417,1.0,0.013974192478425917,2.1608063527824366,0.7489457542649033,0.10644046926839278,0.5372098019277314,0.3647053518077994
frozenset({'service_smtp'}),frozenset({'attack_Exploits'}),0.03129970848007328,0.16892063354521653,0.01926135906466048,0.6153846153846153,3.6430399440805417,1.0,0.013974192478425917,2.1608063527824366,0.7489457542649033,0.10644046926839278,0.5372098019277314,0.3647053518077994
"frozenset({'state_FIN', 'proto_tcp', 'service_smtp'})",frozenset({'attack_Exploits'}),0.03099642872616314,0.16892063354521653,0.0189952156071475,0.6128194888178914,3.627854548946221,1.0,0.013759279229084872,2.1464906999512925,0.7475256154022831,0.10499127638466012,0.5341233018048055,0.3626350118865948
"frozenset({'state_FIN', 'service_smtp'})",frozenset({'attack_Exploits'}),0.03099642872616314,0.16892063354521653,0.0189952156071475,0.6128194888178914,3.627854548946221,1.0,0.013759279229084872,2.1464906999512925,0.7475256154022831,0.10499127638466012,0.5341233018048055,0.3626350118865948
"frozenset({'service_-', 'proto_udp', 'state_INT'})",frozenset({'attack_Fuzzers'}),0.0745387362518336,0.10838228103511237,0.027938873656130275,0.3748235489495973,3.4583471151356053,1.0,0.01986019539568193,1.426185707198053,0.768097546220725,0.18027156549520765,0.29882904101973945,0.31630218621598993
"frozenset({'service_dns', 'proto_udp'})",frozenset({'attack_Generic'}),0.2924421447449046,0.24661595499080877,0.24209770559582092,0.8278482084276916,3.3568315093747483,1.0,0.16997680678999594,4.376277691497329,0.9922863926310879,0.8152525063048415,0.7714953048014068,0.9047636072882591
frozenset({'service_dns'}),frozenset({'attack_Generic'}),0.2927206669678833,0.24661595499080877,0.24210389497855378,0.827081659407113,3.3537232391875773,1.0,0.16991430814872277,4.356877601450806,0.9922867837264504,0.8145263727797097,0.7704778303464371,0.9043928814038953
"frozenset({'proto_udp', 'state_INT'})",frozenset({'attack_Generic'}),0.3185799080257726,0.24661595499080877,0.24267331818997692,0.7617345352813181,3.088747990006192,1.0,0.164106429931317,3.16195234545932,0.9924042932297559,0.7524228060411832,0.6837396991652841,0.8728737929261403
"frozenset({'service_-', 'proto_ospf', 'state_INT'})",frozenset({'attack_Exploits'}),0.010955207437162292,0.16892063354521653,0.005434278039451125,0.49604519774011296,2.9365577628344144,1.0,0.0035837174585464033,1.6491148863508598,0.6667698395186273,0.03115242690888447,0.3936141088309576,0.2641078985915866
"frozenset({'proto_ospf', 'state_INT'})",frozenset({'attack_Exploits'}),0.010955207437162292,0.16892063354521653,0.005434278039451125,0.49604519774011296,2.9365577628344144,1.0,0.0035837174585464033,1.6491148863508598,0.6667698395186273,0.03115242690888447,0.3936141088309576,0.2641078985915866
"frozenset({'service_-', 'proto_ospf'})",frozenset({'attack_Exploits'}),0.016061448191771834,0.16892063354521653,0.007662455823280744,0.47707129094412337,2.824233374760706,1.0,0.0049493458190729735,1.5892785231762443,0.6564653972045026,0.0432126775803693,0.37078366981172356,0.26121628448715767
frozenset({'proto_ospf'}),frozenset({'attack_Exploits'}),0.016061448191771834,0.16892063354521653,0.007662455823280744,0.47707129094412337,2.824233374760706,1.0,0.0049493458190729735,1.5892785231762443,0.6564653972045026,0.0432126775803693,0.37078366981172356,0.26121628448715767
frozenset({'service_ftp'}),frozenset({'attack_Exploits'}),0.02121720400824426,0.16892063354521653,0.009995853113568983,0.4711201866977829,2.7890031952293968,1.0,0.006411829570438255,1.5713955147308314,0.655353732481733,0.05548874763786291,0.3636229767581507,0.265147518235305
"frozenset({'proto_tcp', 'service_ftp'})",frozenset({'attack_Exploits'}),0.02121720400824426,0.16892063354521653,0.009995853113568983,0.4711201866977829,2.7890031952293968,1.0,0.006411829570438255,1.5713955147308314,0.655353732481733,0.05548874763786291,0.3636229767581507,0.265147518235305
"frozenset({'state_FIN', 'proto_tcp', 'service_ftp'})",frozenset({'attack_Exploits'}),0.021161499563648517,0.16892063354521653,0.009946338051706104,0.4700204738227552,2.782492961091935,1.0,0.006371724138647773,1.5681348531506096,0.6544593944037266,0.05521577789994503,0.3622997422760833,0.2644510987023786
"frozenset({'state_FIN', 'service_ftp'})",frozenset({'attack_Exploits'}),0.021161499563648517,0.16892063354521653,0.009946338051706104,0.4700204738227552,2.782492961091935,1.0,0.006371724138647773,1.5681348531506096,0.6544593944037266,0.05521577789994503,0.3622997422760833,0.2644510987023786
"frozenset({'state_FIN', 'service_http'})",frozenset({'attack_Exploits'}),0.1157538358699487,0.16892063354521653,0.05365575891116379,0.46353331194524644,2.7440893525962786,1.0,0.03410254762072304,1.5491723623479878,0.7187821734056559,0.23225720026791694,0.3544940354575135,0.3905860902390749
"frozenset({'state_FIN', 'service_http', 'proto_tcp'})",frozenset({'attack_Exploits'}),0.1157538358699487,0.16892063354521653,0.05365575891116379,0.46353331194524644,2.7440893525962786,1.0,0.03410254762072304,1.5491723623479878,0.7187821734056559,0.23225720026791694,0.3544940354575135,0.3905860902390749
frozenset({'service_http'}),frozenset({'attack_Exploits'}),0.11587143414187304,0.16892063354521653,0.05369908459029381,0.4634367822231718,2.743517902442152,1.0,0.03412600852525578,1.5488936604678945,0.7187919256134435,0.2323700350858398,0.3543778856335967,0.3906660680865236
"frozenset({'proto_tcp', 'service_http'})",frozenset({'attack_Exploits'}),0.11587143414187304,0.16892063354521653,0.05369908459029381,0.4634367822231718,2.743517902442152,1.0,0.03412600852525578,1.5488936604678945,0.7187919256134435,0.2323700350858398,0.3543778856335967,0.3906660680865236
frozenset({'proto_unas'}),frozenset({'attack_Exploits'}),0.07479250094388086,0.16892063354521653,0.03267994082950108,0.4369414101290964,2.586666891775162,1.0,0.020045944185629515,1.4760086808112294,0.6629886767300387,0.1548568747067105,0.32249720953511607,0.31520234803684777
"frozenset({'proto_unas', 'service_-', 'state_INT'})",frozenset({'attack_Exploits'}),0.07479250094388086,0.16892063354521653,0.03267994082950108,0.4369414101290964,2.586666891775162,1.0,0.020045944185629515,1.4760086808112294,0.6629886767300387,0.1548568747067105,0.32249720953511607,0.31520234803684777
"frozenset({'service_-', 'proto_unas'})",frozenset({'attack_Exploits'}),0.07479250094388086,0.16892063354521653,0.03267994082950108,0.4369414101290964,2.586666891775162,1.0,0.020045944185629515,1.4760086808112294,0.6629886767300387,0.1548568747067105,0.32249720953511607,0.31520234803684777
"frozenset({'proto_unas', 'state_INT'})",frozenset({'attack_Exploits'}),0.07479250094388086,0.16892063354521653,0.03267994082950108,0.4369414101290964,2.586666891775162,1.0,0.020045944185629515,1.4760086808112294,0.6629886767300387,0.1548568747067105,0.32249720953511607,0.31520234803684777
frozenset({'proto_udp'}),frozenset({'attack_Generic'}),0.3905314822952707,0.24661595499080877,0.2427228332518398,0.6215192481417501,2.5201907482624706,1.0,0.1464115387916155,1.9905478450628091,0.9897223902182379,0.6153846153846154,0.49762574033057405,0.80286653836376
frozenset({'state_INT'}),frozenset({'attack_Generic'}),0.42530343448847846,0.24661595499080877,0.24351507424164587,0.5725678527250236,2.321698337588754,1.0,0.1386284615843989,1.762581616315637,0.9905763423015149,0.5684234858992141,0.4326503858071991,0.7799970647738558
"frozenset({'proto_tcp', 'service_ftp-data'})",frozenset({'attack_Exploits'}),0.02472658401777591,0.16892063354521653,0.008881764221654175,0.3591989987484355,2.1264364880107167,1.0,0.0047049339839624425,1.2969383081979922,0.5431601601338641,0.04807048103979633,0.22895330203528938,0.20588925461384844
frozenset({'service_ftp-data'}),frozenset({'attack_Exploits'}),0.02472658401777591,0.16892063354521653,0.008881764221654175,0.3591989987484355,2.1264364880107167,1.0,0.0047049339839624425,1.2969383081979922,0.5431601601338641,0.04807048103979633,0.22895330203528938,0.20588925461384844
"frozenset({'state_FIN', 'service_ftp-data'})",frozenset({'attack_Exploits'}),0.024714205252310186,0.16892063354521653,0.008869385456188454,0.358878036563987,2.124536411165678,1.0,0.004694646247401699,1.2962890274429495,0.5427220224915692,0.04800348385367814,0.22856710283771128,0.205692132747771
"frozenset({'state_FIN', 'proto_tcp', 'service_ftp-data'})",frozenset({'attack_Exploits'}),0.024714205252310186,0.16892063354521653,0.008869385456188454,0.358878036563987,2.124536411165678,1.0,0.004694646247401699,1.2962890274429495,0.5427220224915692,0.04800348385367814,0.22856710283771128,0.205692132747771
